CoID,Date,CostCtr,  Ces  ,  Stops  ,   GP Dollars
FDC,2/8/2019,5120,25566.36809,348,"161,340.91"
FDC,2/8/2019,5130,14483.17376,211,"104,578.22"
FDC,2/8/2019,5150,5815.413341,240,"38,734.55"
FDC,2/11/2019,5110,16583.49217,107,"102,662.93"
FDC,2/11/2019,5120,20209.83684,275,"127,537.61"
FDC,2/11/2019,5130,11448.73522,167,"82,667.54"
FDC,2/11/2019,5150,4596.998462,189,"30,619.09"
FDC,2/12/2019,5110,18619.13744,120,"115,264.94"
FDC,2/12/2019,5120,22690.62065,309,"143,193.02"
FDC,2/12/2019,5130,12854.08238,188,"92,815.09"
FDC,2/12/2019,5150,5161.286013,213,"34,377.62"
FDC,2/13/2019,5110,18412.54152,119,"113,985.97"
FDC,2/13/2019,5120,22438.84799,306,"141,604.16"
FDC,2/13/2019,5130,12711.45488,186,"91,785.22"
FDC,2/13/2019,5150,5104.016945,210,"33,996.17"
FDC,2/14/2019,5110,18232.05276,117,"112,868.62"
FDC,2/14/2019,5120,22218.8914,303,"140,216.09"
FDC,2/14/2019,5130,12586.85097,184,"90,885.50"
FDC,2/14/2019,5150,5053.984868,208,"33,662.93"
FDC,2/15/2019,5110,19933.6843,128,"123,402.86"
FDC,2/15/2019,5120,24292.62204,331,"153,302.72"
FDC,2/15/2019,5130,13761.60528,201,"99,368.01"
FDC,2/15/2019,5150,5525.682718,228,"36,804.75"
FDC,2/18/2019,5110,17419.16982,112,"107,836.33"
FDC,2/18/2019,5120,21228.25376,289,"133,964.50"
FDC,2/18/2019,5130,12025.66148,176,"86,833.33"
FDC,2/18/2019,5150,4828.65105,199,"32,162.05"
FDC,2/19/2019,5110,20938.355,135,"129,622.45"
FDC,2/19/2019,5120,25516.98605,348,"161,029.28"
FDC,2/19/2019,5130,14455.19917,211,"104,376.22"
FDC,2/19/2019,5150,5804.180733,239,"38,659.73"
FDC,2/20/2019,5110,17565.21071,113,"108,740.42"
FDC,2/20/2019,5120,21406.22969,292,"135,087.65"
FDC,2/20/2019,5130,12126.48363,177,"87,561.34"
FDC,2/20/2019,5150,4869.134063,201,"32,431.70"
FDC,2/21/2019,5110,19961.46328,129,"123,574.83"
FDC,2/21/2019,5120,24326.4755,331,"153,516.36"
FDC,2/21/2019,5130,13780.78304,201,"99,506.49"
FDC,2/21/2019,5150,5533.383142,228,"36,856.04"
FDC,2/22/2019,5110,21496.88814,138,"133,080.14"
FDC,2/22/2019,5120,26197.65472,357,"165,324.75"
FDC,2/22/2019,5130,14840.79335,217,"107,160.47"
FDC,2/22/2019,5150,5959.007953,245,"39,690.99"
FDC,2/25/2019,5110,18624.74343,120,"115,299.64"
FDC,2/25/2019,5120,22697.45251,309,"143,236.13"
FDC,2/25/2019,5130,12857.95259,188,"92,843.03"
FDC,2/25/2019,5150,5162.840012,213,"34,387.97"
FDC,2/26/2019,5110,20751.85815,134,"128,467.91"
FDC,2/26/2019,5120,25289.70756,345,"159,595.00"
FDC,2/26/2019,5130,14326.44745,209,"103,446.55"
FDC,2/26/2019,5150,5752.483193,237,"38,315.39"
FDC,2/27/2019,5110,19368.38149,125,"119,903.26"
FDC,2/27/2019,5120,23603.70336,322,"148,955.18"
FDC,2/27/2019,5130,13371.33753,195,"96,550.02"
FDC,2/27/2019,5150,5368.978923,221,"35,761.00"
FDC,2/28/2019,5110,20551.72007,132,"127,228.92"
FDC,2/28/2019,5120,25045.8049,341,"158,055.81"
FDC,2/28/2019,5130,14188.27826,207,"102,448.88"
FDC,2/28/2019,5150,5697.004262,235,"37,945.87"
FDC,3/1/2019,5110,23798.07774,153,"147,326.05"
FDC,3/1/2019,5120,29002.04995,395,"183,022.37"
FDC,3/1/2019,5130,16429.46419,240,"118,631.74"
FDC,3/1/2019,5150,6596.905263,272,"43,939.81"
FDC,3/4/2019,5110,19461.08994,125,"120,477.19"
FDC,3/4/2019,5120,23716.68454,323,"149,668.17"
FDC,3/4/2019,5130,13435.3406,196,"97,012.16"
FDC,3/4/2019,5150,5394.678008,222,"35,932.17"
FDC,3/5/2019,5110,19873.91081,128,"123,032.82"
FDC,3/5/2019,5120,24219.77776,330,"152,843.02"
FDC,3/5/2019,5130,13720.33949,200,"99,070.04"
FDC,3/5/2019,5150,5509.113309,227,"36,694.39"
FDC,3/6/2019,5110,18645.92943,120,"115,430.80"
FDC,3/6/2019,5120,22723.27129,310,"143,399.07"
FDC,3/6/2019,5130,12872.57875,188,"92,948.64"
FDC,3/6/2019,5150,5168.71284,213,"34,427.09"
FDC,3/7/2019,5110,21157.56284,136,"130,979.49"
FDC,3/7/2019,5120,25784.12849,351,"162,715.13"
FDC,3/7/2019,5130,14606.53355,213,"105,468.96"
FDC,3/7/2019,5150,5864.945866,242,"39,064.47"
FDC,3/8/2019,5110,22056.03558,142,"136,541.64"
