CoID,Date,CostCtr,SBT,RET,UNS,SPE
FDC,7/11/2019,5130,20%,1%,3%,1%
FDC,7/11/2019,5150,20%,1%,3%,1%
FDC,7/12/2019,5110,20%,1%,3%,1%
FDC,7/12/2019,5120,20%,1%,3%,1%
FDC,7/12/2019,5130,20%,1%,3%,1%
FDC,7/12/2019,5150,20%,1%,3%,1%
FDC,7/15/2019,5110,20%,1%,3%,1%
FDC,7/15/2019,5120,20%,1%,3%,1%
FDC,7/15/2019,5130,20%,1%,3%,1%
FDC,7/15/2019,5150,20%,1%,3%,1%
FDC,7/16/2019,5110,20%,1%,3%,1%
FDC,7/16/2019,5120,20%,1%,3%,1%
FDC,7/16/2019,5130,20%,1%,3%,1%
FDC,7/16/2019,5150,20%,1%,3%,1%
FDC,7/17/2019,5110,20%,1%,3%,1%
FDC,7/17/2019,5120,20%,1%,3%,1%
FDC,7/17/2019,5130,20%,1%,3%,1%
FDC,7/17/2019,5150,20%,1%,3%,1%
FDC,7/18/2019,5110,20%,1%,3%,1%
FDC,7/18/2019,5120,20%,1%,3%,1%
FDC,7/18/2019,5130,20%,1%,3%,1%
FDC,7/18/2019,5150,20%,1%,3%,1%
FDC,7/19/2019,5110,20%,1%,3%,1%
FDC,7/19/2019,5120,20%,1%,3%,1%
FDC,7/19/2019,5130,20%,1%,3%,1%
FDC,7/19/2019,5150,20%,1%,3%,1%
FDC,7/22/2019,5110,20%,1%,3%,1%
FDC,7/22/2019,5120,20%,1%,3%,1%
FDC,7/22/2019,5130,20%,1%,3%,1%
FDC,7/22/2019,5150,20%,1%,3%,1%
FDC,7/23/2019,5110,20%,1%,3%,1%
FDC,7/23/2019,5120,20%,1%,3%,1%
FDC,7/23/2019,5130,20%,1%,3%,1%
FDC,7/23/2019,5150,20%,1%,3%,1%
FDC,7/24/2019,5110,20%,1%,3%,1%
FDC,7/24/2019,5120,20%,1%,3%,1%
FDC,7/24/2019,5130,20%,1%,3%,1%
FDC,7/24/2019,5150,20%,1%,3%,1%
FDC,7/25/2019,5110,20%,1%,3%,1%
FDC,7/25/2019,5120,20%,1%,3%,1%
FDC,7/25/2019,5130,20%,1%,3%,1%
FDC,7/25/2019,5150,20%,1%,3%,1%
FDC,7/26/2019,5110,20%,1%,3%,1%
FDC,7/26/2019,5120,20%,1%,3%,1%
FDC,7/26/2019,5130,20%,1%,3%,1%
FDC,7/26/2019,5150,20%,1%,3%,1%
FDC,7/29/2019,5110,20%,1%,3%,1%
FDC,7/29/2019,5120,20%,1%,3%,1%
FDC,7/29/2019,5130,20%,1%,3%,1%
FDC,7/29/2019,5150,20%,1%,3%,1%
FDC,7/30/2019,5110,20%,1%,3%,1%
FDC,7/30/2019,5120,20%,1%,3%,1%
FDC,7/30/2019,5130,20%,1%,3%,1%
FDC,7/30/2019,5150,20%,1%,3%,1%
FDC,7/31/2019,5110,20%,1%,3%,1%
FDC,7/31/2019,5120,20%,1%,3%,1%
FDC,7/31/2019,5130,20%,1%,3%,1%
FDC,7/31/2019,5150,20%,1%,3%,1%
FDC,8/1/2019,5110,20%,1%,3%,1%
FDC,8/1/2019,5120,20%,1%,3%,1%
FDC,8/1/2019,5130,20%,1%,3%,1%
FDC,8/1/2019,5150,20%,1%,3%,1%
FDC,8/2/2019,5110,20%,1%,3%,1%
FDC,8/2/2019,5120,20%,1%,3%,1%
FDC,8/2/2019,5130,20%,1%,3%,1%
FDC,8/2/2019,5150,20%,1%,3%,1%
FDC,8/5/2019,5110,20%,1%,3%,1%
FDC,8/5/2019,5120,20%,1%,3%,1%
FDC,8/5/2019,5130,20%,1%,3%,1%
FDC,8/5/2019,5150,20%,1%,3%,1%
FDC,8/6/2019,5110,20%,1%,3%,1%
FDC,8/6/2019,5120,20%,1%,3%,1%
FDC,8/6/2019,5130,20%,1%,3%,1%
FDC,8/6/2019,5150,20%,1%,3%,1%
FDC,8/7/2019,5110,20%,1%,3%,1%
FDC,8/7/2019,5120,20%,1%,3%,1%
FDC,8/7/2019,5130,20%,1%,3%,1%
FDC,8/7/2019,5150,20%,1%,3%,1%
FDC,8/8/2019,5110,20%,1%,3%,1%
FDC,8/8/2019,5120,20%,1%,3%,1%
FDC,8/8/2019,5130,20%,1%,3%,1%
FDC,8/8/2019,5150,20%,1%,3%,1%
FDC,8/9/2019,5110,20%,1%,3%,1%
FDC,8/9/2019,5120,20%,1%,3%,1%
FDC,8/9/2019,5130,20%,1%,3%,1%
FDC,8/9/2019,5150,20%,1%,3%,1%
FDC,8/12/2019,5110,20%,1%,3%,1%
FDC,8/12/2019,5120,20%,1%,3%,1%
FDC,8/12/2019,5130,20%,1%,3%,1%
FDC,8/12/2019,5150,20%,1%,3%,1%
FDC,8/13/2019,5110,20%,1%,3%,1%
FDC,8/13/2019,5120,20%,1%,3%,1%
FDC,8/13/2019,5130,20%,1%,3%,1%
FDC,8/13/2019,5150,20%,1%,3%,1%
FDC,8/14/2019,5110,20%,1%,3%,1%
FDC,8/14/2019,5120,20%,1%,3%,1%
FDC,8/14/2019,5130,20%,1%,3%,1%
FDC,8/14/2019,5150,20%,1%,3%,1%
FDC,8/15/2019,5110,20%,1%,3%,1%
FDC,8/15/2019,5120,20%,1%,3%,1%
FDC,8/15/2019,5130,20%,1%,3%,1%
FDC,8/15/2019,5150,20%,1%,3%,1%
FDC,8/16/2019,5110,20%,1%,3%,1%
FDC,8/16/2019,5120,20%,1%,3%,1%
FDC,8/16/2019,5130,20%,1%,3%,1%
FDC,8/16/2019,5150,20%,1%,3%,1%
FDC,8/19/2019,5110,20%,1%,3%,1%
FDC,8/19/2019,5120,20%,1%,3%,1%
FDC,8/19/2019,5130,20%,1%,3%,1%
FDC,8/19/2019,5150,20%,1%,3%,1%
FDC,8/20/2019,5110,20%,1%,3%,1%
FDC,8/20/2019,5120,20%,1%,3%,1%
FDC,8/20/2019,5130,20%,1%,3%,1%
FDC,8/20/2019,5150,20%,1%,3%,1%
FDC,8/21/2019,5110,20%,1%,3%,1%
FDC,8/21/2019,5120,20%,1%,3%,1%
FDC,8/21/2019,5130,20%,1%,3%,1%
FDC,8/21/2019,5150,20%,1%,3%,1%
FDC,8/22/2019,5110,20%,1%,3%,1%
FDC,8/22/2019,5120,20%,1%,3%,1%
FDC,8/22/2019,5130,20%,1%,3%,1%
FDC,8/22/2019,5150,20%,1%,3%,1%
FDC,8/23/2019,5110,20%,1%,3%,1%
FDC,8/23/2019,5120,20%,1%,3%,1%
FDC,8/23/2019,5130,20%,1%,3%,1%
FDC,8/23/2019,5150,20%,1%,3%,1%
FDC,8/26/2019,5110,20%,1%,3%,1%
FDC,8/26/2019,5120,20%,1%,3%,1%
FDC,8/26/2019,5130,20%,1%,3%,1%
FDC,8/26/2019,5150,20%,1%,3%,1%
FDC,8/27/2019,5110,20%,1%,3%,1%
FDC,8/27/2019,5120,20%,1%,3%,1%
FDC,8/27/2019,5130,20%,1%,3%,1%
FDC,8/27/2019,5150,20%,1%,3%,1%
FDC,8/28/2019,5110,20%,1%,3%,1%
FDC,8/28/2019,5120,20%,1%,3%,1%
FDC,8/28/2019,5130,20%,1%,3%,1%
FDC,8/28/2019,5150,20%,1%,3%,1%
FDC,8/29/2019,5110,20%,1%,3%,1%
FDC,8/29/2019,5120,20%,1%,3%,1%
FDC,8/29/2019,5130,20%,1%,3%,1%
FDC,8/29/2019,5150,20%,1%,3%,1%
FDC,8/30/2019,5110,20%,1%,3%,1%
FDC,8/30/2019,5120,20%,1%,3%,1%
FDC,8/30/2019,5130,20%,1%,3%,1%
FDC,8/30/2019,5150,20%,1%,3%,1%
FDC,9/3/2019,5110,20%,1%,3%,1%
FDC,9/3/2019,5120,20%,1%,3%,1%
FDC,9/3/2019,5130,20%,1%,3%,1%
FDC,9/3/2019,5150,20%,1%,3%,1%
FDC,9/4/2019,5110,20%,1%,3%,1%
FDC,9/4/2019,5120,20%,1%,3%,1%
FDC,9/4/2019,5130,20%,1%,3%,1%
FDC,9/4/2019,5150,20%,1%,3%,1%
FDC,9/5/2019,5110,20%,1%,3%,1%
FDC,9/5/2019,5120,20%,1%,3%,1%
FDC,9/5/2019,5130,20%,1%,3%,1%
FDC,9/5/2019,5150,20%,1%,3%,1%
FDC,9/6/2019,5110,20%,1%,3%,1%
FDC,9/6/2019,5120,20%,1%,3%,1%
FDC,9/6/2019,5130,20%,1%,3%,1%
FDC,9/6/2019,5150,20%,1%,3%,1%
FDC,9/9/2019,5110,20%,1%,3%,1%
FDC,9/9/2019,5120,20%,1%,3%,1%
FDC,9/9/2019,5130,20%,1%,3%,1%
FDC,9/9/2019,5150,20%,1%,3%,1%
FDC,9/10/2019,5110,20%,1%,3%,1%
FDC,9/10/2019,5120,20%,1%,3%,1%
FDC,9/10/2019,5130,20%,1%,3%,1%
FDC,9/10/2019,5150,20%,1%,3%,1%
FDC,9/11/2019,5110,20%,1%,3%,1%
FDC,9/11/2019,5120,20%,1%,3%,1%
FDC,9/11/2019,5130,20%,1%,3%,1%
FDC,9/11/2019,5150,20%,1%,3%,1%
FDC,9/12/2019,5110,20%,1%,3%,1%
FDC,9/12/2019,5120,20%,1%,3%,1%
FDC,9/12/2019,5130,20%,1%,3%,1%
FDC,9/12/2019,5150,20%,1%,3%,1%
FDC,9/13/2019,5110,20%,1%,3%,1%
FDC,9/13/2019,5120,20%,1%,3%,1%
FDC,9/13/2019,5130,20%,1%,3%,1%
FDC,9/13/2019,5150,20%,1%,3%,1%
FDC,9/16/2019,5110,20%,1%,3%,1%
FDC,9/16/2019,5120,20%,1%,3%,1%
FDC,9/16/2019,5130,20%,1%,3%,1%
FDC,9/16/2019,5150,20%,1%,3%,1%
FDC,9/17/2019,5110,20%,1%,3%,1%
FDC,9/17/2019,5120,20%,1%,3%,1%
FDC,9/17/2019,5130,20%,1%,3%,1%
FDC,9/17/2019,5150,20%,1%,3%,1%
FDC,9/18/2019,5110,20%,1%,3%,1%
FDC,9/18/2019,5120,20%,1%,3%,1%
FDC,9/18/2019,5130,20%,1%,3%,1%
FDC,9/18/2019,5150,20%,1%,3%,1%
FDC,9/19/2019,5110,20%,1%,3%,1%
FDC,9/19/2019,5120,20%,1%,3%,1%
FDC,9/19/2019,5130,20%,1%,3%,1%
FDC,9/19/2019,5150,20%,1%,3%,1%
FDC,9/20/2019,5110,20%,1%,3%,1%
FDC,9/20/2019,5120,20%,1%,3%,1%
FDC,9/20/2019,5130,20%,1%,3%,1%
FDC,9/20/2019,5150,20%,1%,3%,1%
FDC,9/23/2019,5110,20%,1%,3%,1%
FDC,9/23/2019,5120,20%,1%,3%,1%
FDC,9/23/2019,5130,20%,1%,3%,1%
FDC,9/23/2019,5150,20%,1%,3%,1%
FDC,9/24/2019,5110,20%,1%,3%,1%
FDC,9/24/2019,5120,20%,1%,3%,1%
FDC,9/24/2019,5130,20%,1%,3%,1%
FDC,9/24/2019,5150,20%,1%,3%,1%
FDC,9/25/2019,5110,20%,1%,3%,1%
FDC,9/25/2019,5120,20%,1%,3%,1%
FDC,9/25/2019,5130,20%,1%,3%,1%
FDC,9/25/2019,5150,20%,1%,3%,1%
FDC,9/26/2019,5110,20%,1%,3%,1%
FDC,9/26/2019,5120,20%,1%,3%,1%
FDC,9/26/2019,5130,20%,1%,3%,1%
FDC,9/26/2019,5150,20%,1%,3%,1%
FDC,9/27/2019,5110,20%,1%,3%,1%
FDC,9/27/2019,5120,20%,1%,3%,1%
FDC,9/27/2019,5130,20%,1%,3%,1%
FDC,9/27/2019,5150,20%,1%,3%,1%
FDC,9/30/2019,5110,20%,1%,3%,1%
FDC,9/30/2019,5120,20%,1%,3%,1%
FDC,9/30/2019,5130,20%,1%,3%,1%
FDC,9/30/2019,5150,20%,1%,3%,1%
FDC,10/1/2019,5110,20%,1%,3%,1%
FDC,10/1/2019,5120,20%,1%,3%,1%
FDC,10/1/2019,5130,20%,1%,3%,1%
FDC,10/1/2019,5150,20%,1%,3%,1%
FDC,10/2/2019,5110,20%,1%,3%,1%
FDC,10/2/2019,5120,20%,1%,3%,1%
FDC,10/2/2019,5130,20%,1%,3%,1%
FDC,10/2/2019,5150,20%,1%,3%,1%
FDC,10/3/2019,5110,20%,1%,3%,1%
FDC,10/3/2019,5120,20%,1%,3%,1%
FDC,10/3/2019,5130,20%,1%,3%,1%
FDC,10/3/2019,5150,20%,1%,3%,1%
FDC,10/4/2019,5110,20%,1%,3%,1%
FDC,10/4/2019,5120,20%,1%,3%,1%
FDC,10/4/2019,5130,20%,1%,3%,1%
FDC,10/4/2019,5150,20%,1%,3%,1%
FDC,10/7/2019,5110,20%,1%,3%,1%
FDC,10/7/2019,5120,20%,1%,3%,1%
FDC,10/7/2019,5130,20%,1%,3%,1%
FDC,10/7/2019,5150,20%,1%,3%,1%
FDC,10/8/2019,5110,20%,1%,3%,1%
FDC,10/8/2019,5120,20%,1%,3%,1%
FDC,10/8/2019,5130,20%,1%,3%,1%
FDC,10/8/2019,5150,20%,1%,3%,1%
FDC,10/9/2019,5110,20%,1%,3%,1%
FDC,10/9/2019,5120,20%,1%,3%,1%
FDC,10/9/2019,5130,20%,1%,3%,1%
FDC,10/9/2019,5150,20%,1%,3%,1%
FDC,10/10/2019,5110,20%,1%,3%,1%
FDC,10/10/2019,5120,20%,1%,3%,1%
FDC,10/10/2019,5130,20%,1%,3%,1%
FDC,10/10/2019,5150,20%,1%,3%,1%
FDC,10/11/2019,5110,20%,1%,3%,1%
FDC,10/11/2019,5120,20%,1%,3%,1%
FDC,10/11/2019,5130,20%,1%,3%,1%
FDC,10/11/2019,5150,20%,1%,3%,1%
FDC,10/14/2019,5110,20%,1%,3%,1%
FDC,10/14/2019,5120,20%,1%,3%,1%
FDC,10/14/2019,5130,20%,1%,3%,1%
FDC,10/14/2019,5150,20%,1%,3%,1%
FDC,10/15/2019,5110,20%,1%,3%,1%
FDC,10/15/2019,5120,20%,1%,3%,1%
FDC,10/15/2019,5130,20%,1%,3%,1%
FDC,10/15/2019,5150,20%,1%,3%,1%
FDC,10/16/2019,5110,20%,1%,3%,1%
FDC,10/16/2019,5120,20%,1%,3%,1%
FDC,10/16/2019,5130,20%,1%,3%,1%
FDC,10/16/2019,5150,20%,1%,3%,1%
FDC,10/17/2019,5110,20%,1%,3%,1%
FDC,10/17/2019,5120,20%,1%,3%,1%
FDC,10/17/2019,5130,20%,1%,3%,1%
FDC,10/17/2019,5150,20%,1%,3%,1%
FDC,10/18/2019,5110,20%,1%,3%,1%
FDC,10/18/2019,5120,20%,1%,3%,1%
FDC,10/18/2019,5130,20%,1%,3%,1%
FDC,10/18/2019,5150,20%,1%,3%,1%
FDC,10/21/2019,5110,20%,1%,3%,1%
FDC,10/21/2019,5120,20%,1%,3%,1%
FDC,10/21/2019,5130,20%,1%,3%,1%
FDC,10/21/2019,5150,20%,1%,3%,1%
FDC,10/22/2019,5110,20%,1%,3%,1%
FDC,10/22/2019,5120,20%,1%,3%,1%
FDC,10/22/2019,5130,20%,1%,3%,1%
FDC,10/22/2019,5150,20%,1%,3%,1%
FDC,10/23/2019,5110,20%,1%,3%,1%
FDC,10/23/2019,5120,20%,1%,3%,1%
FDC,10/23/2019,5130,20%,1%,3%,1%
FDC,10/23/2019,5150,20%,1%,3%,1%
FDC,10/24/2019,5110,20%,1%,3%,1%
FDC,10/24/2019,5120,20%,1%,3%,1%
FDC,10/24/2019,5130,20%,1%,3%,1%
FDC,10/24/2019,5150,20%,1%,3%,1%
FDC,10/25/2019,5110,20%,1%,3%,1%
FDC,10/25/2019,5120,20%,1%,3%,1%
FDC,10/25/2019,5130,20%,1%,3%,1%
FDC,10/25/2019,5150,20%,1%,3%,1%
FDC,10/28/2019,5110,20%,1%,3%,1%
FDC,10/28/2019,5120,20%,1%,3%,1%
FDC,10/28/2019,5130,20%,1%,3%,1%
FDC,10/28/2019,5150,20%,1%,3%,1%
FDC,10/29/2019,5110,20%,1%,3%,1%
FDC,10/29/2019,5120,20%,1%,3%,1%
FDC,10/29/2019,5130,20%,1%,3%,1%
FDC,10/29/2019,5150,20%,1%,3%,1%
FDC,10/30/2019,5110,20%,1%,3%,1%
FDC,10/30/2019,5120,20%,1%,3%,1%
FDC,10/30/2019,5130,20%,1%,3%,1%
FDC,10/30/2019,5150,20%,1%,3%,1%
FDC,10/31/2019,5110,20%,1%,3%,1%
FDC,10/31/2019,5120,20%,1%,3%,1%
FDC,10/31/2019,5130,20%,1%,3%,1%
FDC,10/31/2019,5150,20%,1%,3%,1%
FDC,11/1/2019,5110,20%,1%,3%,1%
FDC,11/1/2019,5120,20%,1%,3%,1%
FDC,11/1/2019,5130,20%,1%,3%,1%
FDC,11/1/2019,5150,20%,1%,3%,1%
FDC,11/4/2019,5110,20%,1%,3%,1%
FDC,11/4/2019,5120,20%,1%,3%,1%
FDC,11/4/2019,5130,20%,1%,3%,1%
FDC,11/4/2019,5150,20%,1%,3%,1%
FDC,11/5/2019,5110,20%,1%,3%,1%
FDC,11/5/2019,5120,20%,1%,3%,1%
FDC,11/5/2019,5130,20%,1%,3%,1%
FDC,11/5/2019,5150,20%,1%,3%,1%
FDC,11/6/2019,5110,20%,1%,3%,1%
FDC,11/6/2019,5120,20%,1%,3%,1%
FDC,11/6/2019,5130,20%,1%,3%,1%
FDC,11/6/2019,5150,20%,1%,3%,1%
FDC,11/7/2019,5110,20%,1%,3%,1%
FDC,11/7/2019,5120,20%,1%,3%,1%
FDC,11/7/2019,5130,20%,1%,3%,1%
FDC,11/7/2019,5150,20%,1%,3%,1%
FDC,11/8/2019,5110,20%,1%,3%,1%
FDC,11/8/2019,5120,20%,1%,3%,1%
FDC,11/8/2019,5130,20%,1%,3%,1%
FDC,11/8/2019,5150,20%,1%,3%,1%
FDC,11/11/2019,5110,20%,1%,3%,1%
FDC,11/11/2019,5120,20%,1%,3%,1%
FDC,11/11/2019,5130,20%,1%,3%,1%
FDC,11/11/2019,5150,20%,1%,3%,1%
FDC,11/12/2019,5110,20%,1%,3%,1%
FDC,11/12/2019,5120,20%,1%,3%,1%
FDC,11/12/2019,5130,20%,1%,3%,1%
FDC,11/12/2019,5150,20%,1%,3%,1%
FDC,11/13/2019,5110,20%,1%,3%,1%
FDC,11/13/2019,5120,20%,1%,3%,1%
FDC,11/13/2019,5130,20%,1%,3%,1%
FDC,11/13/2019,5150,20%,1%,3%,1%
FDC,11/14/2019,5110,20%,1%,3%,1%
FDC,11/14/2019,5120,20%,1%,3%,1%
FDC,11/14/2019,5130,20%,1%,3%,1%
FDC,11/14/2019,5150,20%,1%,3%,1%
FDC,11/15/2019,5110,20%,1%,3%,1%
FDC,11/15/2019,5120,20%,1%,3%,1%
FDC,11/15/2019,5130,20%,1%,3%,1%
FDC,11/15/2019,5150,20%,1%,3%,1%
FDC,11/18/2019,5110,20%,1%,3%,1%
FDC,11/18/2019,5120,20%,1%,3%,1%
FDC,11/18/2019,5130,20%,1%,3%,1%
FDC,11/18/2019,5150,20%,1%,3%,1%
FDC,11/19/2019,5110,20%,1%,3%,1%
FDC,11/19/2019,5120,20%,1%,3%,1%
FDC,11/19/2019,5130,20%,1%,3%,1%
FDC,11/19/2019,5150,20%,1%,3%,1%
FDC,11/20/2019,5110,20%,1%,3%,1%
FDC,11/20/2019,5120,20%,1%,3%,1%
FDC,11/20/2019,5130,20%,1%,3%,1%
FDC,11/20/2019,5150,20%,1%,3%,1%
FDC,11/21/2019,5110,20%,1%,3%,1%
FDC,11/21/2019,5120,20%,1%,3%,1%
FDC,11/21/2019,5130,20%,1%,3%,1%
FDC,11/21/2019,5150,20%,1%,3%,1%
FDC,11/22/2019,5110,20%,1%,3%,1%
FDC,11/22/2019,5120,20%,1%,3%,1%
FDC,11/22/2019,5130,20%,1%,3%,1%
FDC,11/22/2019,5150,20%,1%,3%,1%
FDC,11/25/2019,5110,20%,1%,3%,1%
FDC,11/25/2019,5120,20%,1%,3%,1%
FDC,11/25/2019,5130,20%,1%,3%,1%
FDC,11/25/2019,5150,20%,1%,3%,1%
FDC,11/26/2019,5110,20%,1%,3%,1%
FDC,11/26/2019,5120,20%,1%,3%,1%
FDC,11/26/2019,5130,20%,1%,3%,1%
FDC,11/26/2019,5150,20%,1%,3%,1%
FDC,11/27/2019,5110,20%,1%,3%,1%
FDC,11/27/2019,5120,20%,1%,3%,1%
FDC,11/27/2019,5130,20%,1%,3%,1%
FDC,11/27/2019,5150,20%,1%,3%,1%
FDC,12/2/2019,5110,20%,1%,3%,1%
FDC,12/2/2019,5120,20%,1%,3%,1%
FDC,12/2/2019,5130,20%,1%,3%,1%
FDC,12/2/2019,5150,20%,1%,3%,1%
FDC,12/3/2019,5110,20%,1%,3%,1%
FDC,12/3/2019,5120,20%,1%,3%,1%
FDC,12/3/2019,5130,20%,1%,3%,1%
FDC,12/3/2019,5150,20%,1%,3%,1%
FDC,12/4/2019,5110,20%,1%,3%,1%
FDC,12/4/2019,5120,20%,1%,3%,1%
FDC,12/4/2019,5130,20%,1%,3%,1%
FDC,12/4/2019,5150,20%,1%,3%,1%
FDC,12/5/2019,5110,20%,1%,3%,1%
FDC,12/5/2019,5120,20%,1%,3%,1%
FDC,12/5/2019,5130,20%,1%,3%,1%
FDC,12/5/2019,5150,20%,1%,3%,1%
FDC,12/6/2019,5110,20%,1%,3%,1%
FDC,12/6/2019,5120,20%,1%,3%,1%
FDC,12/6/2019,5130,20%,1%,3%,1%
FDC,12/9/2019,5150,20%,1%,3%,1%
FDC,12/9/2019,5110,20%,1%,3%,1%
FDC,12/9/2019,5120,20%,1%,3%,1%
FDC,12/9/2019,5130,20%,1%,3%,1%
FDC,12/9/2019,5150,20%,1%,3%,1%
FDC,12/10/2019,5110,20%,1%,3%,1%
FDC,12/10/2019,5120,20%,1%,3%,1%
FDC,12/10/2019,5130,20%,1%,3%,1%
FDC,12/10/2019,5150,20%,1%,3%,1%
FDC,12/11/2019,5110,20%,1%,3%,1%
FDC,12/11/2019,5120,20%,1%,3%,1%
FDC,12/11/2019,5130,20%,1%,3%,1%
FDC,12/11/2019,5150,20%,1%,3%,1%
FDC,12/12/2019,5110,20%,1%,3%,1%
FDC,12/12/2019,5120,20%,1%,3%,1%
FDC,12/12/2019,5130,20%,1%,3%,1%
FDC,12/12/2019,5150,20%,1%,3%,1%
FDC,12/13/2019,5110,20%,1%,3%,1%
FDC,12/13/2019,5120,20%,1%,3%,1%
FDC,12/13/2019,5130,20%,1%,3%,1%
FDC,12/13/2019,5150,20%,1%,3%,1%
FDC,12/16/2019,5110,20%,1%,3%,1%
FDC,12/16/2019,5120,20%,1%,3%,1%
FDC,12/16/2019,5130,20%,1%,3%,1%
FDC,12/16/2019,5150,20%,1%,3%,1%
FDC,12/17/2019,5110,20%,1%,3%,1%
FDC,12/17/2019,5120,20%,1%,3%,1%
FDC,12/17/2019,5130,20%,1%,3%,1%
FDC,12/17/2019,5150,20%,1%,3%,1%
FDC,12/18/2019,5110,20%,1%,3%,1%
FDC,12/18/2019,5120,20%,1%,3%,1%
FDC,12/18/2019,5130,20%,1%,3%,1%
FDC,12/18/2019,5150,20%,1%,3%,1%
FDC,12/19/2019,5110,20%,1%,3%,1%
FDC,12/19/2019,5120,20%,1%,3%,1%
FDC,12/19/2019,5130,20%,1%,3%,1%
FDC,12/19/2019,5150,20%,1%,3%,1%
FDC,12/20/2019,5110,20%,1%,3%,1%
FDC,12/20/2019,5120,20%,1%,3%,1%
FDC,12/20/2019,5130,20%,1%,3%,1%
FDC,12/20/2019,5150,20%,1%,3%,1%
FDC,12/23/2019,5110,20%,1%,3%,1%
FDC,12/23/2019,5120,20%,1%,3%,1%
FDC,12/23/2019,5130,20%,1%,3%,1%
FDC,12/23/2019,5150,20%,1%,3%,1%
FDC,12/24/2019,5110,20%,1%,3%,1%
FDC,12/24/2019,5120,20%,1%,3%,1%
FDC,12/24/2019,5130,20%,1%,3%,1%
FDC,12/24/2019,5150,20%,1%,3%,1%
FDC,12/26/2019,5110,20%,1%,3%,1%
FDC,12/26/2019,5120,20%,1%,3%,1%
FDC,12/26/2019,5130,20%,1%,3%,1%
FDC,12/26/2019,5150,20%,1%,3%,1%
FDC,12/27/2019,5110,20%,1%,3%,1%
FDC,12/27/2019,5120,20%,1%,3%,1%
FDC,12/27/2019,5130,20%,1%,3%,1%
FDC,12/27/2019,5150,20%,1%,3%,1%
FDC,12/30/2019,5110,20%,1%,3%,1%
FDC,12/30/2019,5120,20%,1%,3%,1%
FDC,12/30/2019,5130,20%,1%,3%,1%
FDC,12/30/2019,5150,20%,1%,3%,1%
FDC,12/31/2019,5110,20%,1%,3%,1%
FDC,12/31/2019,5120,20%,1%,3%,1%
FDC,12/31/2019,5130,20%,1%,3%,1%
FDC,12/31/2019,5150,20%,1%,3%,1%
