CoID,Date,CostCtr,SBT,RET,UNS,SPE
FDC,2/8/2019,5130,20%,1%,3%,1%
FDC,2/8/2019,5150,20%,1%,3%,1%
FDC,2/11/2019,5110,20%,1%,3%,1%
FDC,2/11/2019,5120,20%,1%,3%,1%
FDC,2/11/2019,5130,20%,1%,3%,1%
FDC,2/11/2019,5150,20%,1%,3%,1%
FDC,2/12/2019,5110,20%,1%,3%,1%
FDC,2/12/2019,5120,20%,1%,3%,1%
FDC,2/12/2019,5130,20%,1%,3%,1%
FDC,2/12/2019,5150,20%,1%,3%,1%
FDC,2/13/2019,5110,20%,1%,3%,1%
FDC,2/13/2019,5120,20%,1%,3%,1%
FDC,2/13/2019,5130,20%,1%,3%,1%
FDC,2/13/2019,5150,20%,1%,3%,1%
FDC,2/14/2019,5110,20%,1%,3%,1%
FDC,2/14/2019,5120,20%,1%,3%,1%
FDC,2/14/2019,5130,20%,1%,3%,1%
FDC,2/14/2019,5150,20%,1%,3%,1%
FDC,2/15/2019,5110,20%,1%,3%,1%
FDC,2/15/2019,5120,20%,1%,3%,1%
FDC,2/15/2019,5130,20%,1%,3%,1%
FDC,2/15/2019,5150,20%,1%,3%,1%
FDC,2/18/2019,5110,20%,1%,3%,1%
FDC,2/18/2019,5120,20%,1%,3%,1%
FDC,2/18/2019,5130,20%,1%,3%,1%
FDC,2/18/2019,5150,20%,1%,3%,1%
FDC,2/19/2019,5110,20%,1%,3%,1%
FDC,2/19/2019,5120,20%,1%,3%,1%
FDC,2/19/2019,5130,20%,1%,3%,1%
FDC,2/19/2019,5150,20%,1%,3%,1%
FDC,2/20/2019,5110,20%,1%,3%,1%
FDC,2/20/2019,5120,20%,1%,3%,1%
FDC,2/20/2019,5130,20%,1%,3%,1%
FDC,2/20/2019,5150,20%,1%,3%,1%
FDC,2/21/2019,5110,20%,1%,3%,1%
FDC,2/21/2019,5120,20%,1%,3%,1%
FDC,2/21/2019,5130,20%,1%,3%,1%
FDC,2/21/2019,5150,20%,1%,3%,1%
FDC,2/22/2019,5110,20%,1%,3%,1%
FDC,2/22/2019,5120,20%,1%,3%,1%
FDC,2/22/2019,5130,20%,1%,3%,1%
FDC,2/22/2019,5150,20%,1%,3%,1%
FDC,2/25/2019,5110,20%,1%,3%,1%
FDC,2/25/2019,5120,20%,1%,3%,1%
FDC,2/25/2019,5130,20%,1%,3%,1%
FDC,2/25/2019,5150,20%,1%,3%,1%
FDC,2/26/2019,5110,20%,1%,3%,1%
FDC,2/26/2019,5120,20%,1%,3%,1%
FDC,2/26/2019,5130,20%,1%,3%,1%
FDC,2/26/2019,5150,20%,1%,3%,1%
FDC,2/27/2019,5110,20%,1%,3%,1%
FDC,2/27/2019,5120,20%,1%,3%,1%
FDC,2/27/2019,5130,20%,1%,3%,1%
FDC,2/27/2019,5150,20%,1%,3%,1%
FDC,2/28/2019,5110,20%,1%,3%,1%
FDC,2/28/2019,5120,20%,1%,3%,1%
FDC,2/28/2019,5130,20%,1%,3%,1%
FDC,2/28/2019,5150,20%,1%,3%,1%
FDC,3/1/2019,5110,20%,1%,3%,1%
FDC,3/1/2019,5120,20%,1%,3%,1%
FDC,3/1/2019,5130,20%,1%,3%,1%
FDC,3/1/2019,5150,20%,1%,3%,1%
FDC,3/4/2019,5110,20%,1%,3%,1%
FDC,3/4/2019,5120,20%,1%,3%,1%
FDC,3/4/2019,5130,20%,1%,3%,1%
FDC,3/4/2019,5150,20%,1%,3%,1%
FDC,3/5/2019,5110,20%,1%,3%,1%
FDC,3/5/2019,5120,20%,1%,3%,1%
FDC,3/5/2019,5130,20%,1%,3%,1%
FDC,3/5/2019,5150,20%,1%,3%,1%
FDC,3/6/2019,5110,20%,1%,3%,1%
FDC,3/6/2019,5120,20%,1%,3%,1%
FDC,3/6/2019,5130,20%,1%,3%,1%
FDC,3/6/2019,5150,20%,1%,3%,1%
FDC,3/7/2019,5110,20%,1%,3%,1%
FDC,3/7/2019,5120,20%,1%,3%,1%
FDC,3/7/2019,5130,20%,1%,3%,1%
FDC,3/7/2019,5150,20%,1%,3%,1%
FDC,3/8/2019,5110,20%,1%,3%,1%
FDC,3/8/2019,5120,20%,1%,3%,1%
FDC,3/8/2019,5130,20%,1%,3%,1%
FDC,3/8/2019,5150,20%,1%,3%,1%
FDC,3/11/2019,5110,20%,1%,3%,1%
FDC,3/11/2019,5120,20%,1%,3%,1%
FDC,3/11/2019,5130,20%,1%,3%,1%
FDC,3/11/2019,5150,20%,1%,3%,1%
FDC,3/12/2019,5110,20%,1%,3%,1%
FDC,3/12/2019,5120,20%,1%,3%,1%
FDC,3/12/2019,5130,20%,1%,3%,1%
FDC,3/12/2019,5150,20%,1%,3%,1%
FDC,3/13/2019,5110,20%,1%,3%,1%
FDC,3/13/2019,5120,20%,1%,3%,1%
FDC,3/13/2019,5130,20%,1%,3%,1%
FDC,3/13/2019,5150,20%,1%,3%,1%
FDC,3/14/2019,5110,20%,1%,3%,1%
FDC,3/14/2019,5120,20%,1%,3%,1%
FDC,3/14/2019,5130,20%,1%,3%,1%
FDC,3/14/2019,5150,20%,1%,3%,1%
FDC,3/15/2019,5110,20%,1%,3%,1%
FDC,3/15/2019,5120,20%,1%,3%,1%
FDC,3/15/2019,5130,20%,1%,3%,1%
FDC,3/15/2019,5150,20%,1%,3%,1%
FDC,3/18/2019,5110,20%,1%,3%,1%
FDC,3/18/2019,5120,20%,1%,3%,1%
FDC,3/18/2019,5130,20%,1%,3%,1%
FDC,3/18/2019,5150,20%,1%,3%,1%
FDC,3/19/2019,5110,20%,1%,3%,1%
FDC,3/19/2019,5120,20%,1%,3%,1%
FDC,3/19/2019,5130,20%,1%,3%,1%
FDC,3/19/2019,5150,20%,1%,3%,1%
FDC,3/20/2019,5110,20%,1%,3%,1%
FDC,3/20/2019,5120,20%,1%,3%,1%
FDC,3/20/2019,5130,20%,1%,3%,1%
FDC,3/20/2019,5150,20%,1%,3%,1%
