CoID,Date,CostCtr,   Ces   ,  Stops  ,  GP Dollars  
HJL,1/31/2019,5150,"1,076",78,"6,771"
HJL,2/1/2019,5110,"4,610",32,"27,120"
HJL,2/1/2019,5120,"6,383",103,"32,234"
HJL,2/1/2019,5130,"2,128",80,"14,426"
HJL,2/1/2019,5200,"4,610",65,"26,830"
HJL,2/1/2019,5150,933,80,"5,870"
HJL,2/4/2019,5110,"3,566",30,"20,980"
HJL,2/4/2019,5120,"4,938",94,"24,936"
HJL,2/4/2019,5130,"1,646",74,"11,160"
HJL,2/4/2019,5200,"3,566",59,"20,756"
HJL,2/4/2019,5150,722,74,"4,541"
HJL,2/5/2019,5110,"3,719",32,"21,876"
HJL,2/5/2019,5120,"5,149",105,"26,002"
HJL,2/5/2019,5130,"1,716",81,"11,636"
HJL,2/5/2019,5200,"3,719",66,"21,642"
HJL,2/5/2019,5150,753,80,"4,735"
HJL,2/6/2019,5110,"3,261",32,"19,186"
HJL,2/6/2019,5120,"4,516",105,"22,804"
HJL,2/6/2019,5130,"1,505",81,"10,205"
HJL,2/6/2019,5200,"3,261",66,"18,981"
HJL,2/6/2019,5150,660,81,"4,152"
HJL,2/7/2019,5110,"4,440",32,"26,121"
HJL,2/7/2019,5120,"6,148",102,"31,047"
HJL,2/7/2019,5130,"2,049",79,"13,894"
HJL,2/7/2019,5200,"4,440",65,"25,841"
HJL,2/7/2019,5150,899,79,"5,654"
HJL,2/8/2019,5110,"3,724",32,"21,907"
HJL,2/8/2019,5120,"5,156",103,"26,038"
HJL,2/8/2019,5130,"1,719",80,"11,653"
HJL,2/8/2019,5200,"3,724",65,"21,672"
HJL,2/8/2019,5150,754,80,"4,741"
HJL,2/11/2019,5110,"3,486",30,"20,510"
HJL,2/11/2019,5120,"4,827",94,"24,377"
HJL,2/11/2019,5130,"1,609",74,"10,909"
HJL,2/11/2019,5200,"3,486",59,"20,290"
HJL,2/11/2019,5150,706,74,"4,439"
HJL,2/12/2019,5110,"4,234",32,"24,910"
HJL,2/12/2019,5120,"5,863",105,"29,607"
HJL,2/12/2019,5130,"1,954",81,"13,250"
HJL,2/12/2019,5200,"4,234",66,"24,643"
HJL,2/12/2019,5150,857,80,"5,391"
HJL,2/13/2019,5110,"4,035",32,"23,736"
HJL,2/13/2019,5120,"5,586",105,"28,211"
HJL,2/13/2019,5130,"1,862",81,"12,625"
HJL,2/13/2019,5200,"4,035",66,"23,481"
HJL,2/13/2019,5150,817,81,"5,137"
HJL,2/14/2019,5110,"4,465",32,"26,273"
HJL,2/14/2019,5120,"6,183",102,"31,222"
HJL,2/14/2019,5130,"2,061",79,"13,973"
HJL,2/14/2019,5200,"4,465",65,"25,988"
HJL,2/14/2019,5150,904,79,"5,685"
HJL,2/15/2019,5110,"4,211",32,"24,776"
HJL,2/15/2019,5120,"5,830",103,"29,442"
HJL,2/15/2019,5130,"1,943",80,"13,176"
HJL,2/15/2019,5200,"4,211",65,"24,506"
HJL,2/15/2019,5150,852,80,"5,361"
HJL,2/18/2019,5110,"3,994",30,"23,499"
HJL,2/18/2019,5120,"5,530",94,"27,925"
